number,english,irish
361,berkeley street,sráid berkeley
362,berkeley terrace,ardán berkeley
363,berryfield crescent,corrán ghort na sméar
364,berryfield drive,céide ghort na sméar
365,berryfield road,bóthar ghort na sméar
366,bessborough avenue,ascaill bessborough
367,bessborough parade,paráid bessborough
368,bethesda place,plás bhéatsáide
369,bettystown avenue,ascaill bhaile an bhiataigh
370,bigger road,bóthar bigger
371,bishop street,sráid an easpaig
372,black street,sráid uí dhuibh
373,blackberry lane,lána na sméar
374,blackditch drive,céide an chlaí dhuibh
375,blackditch road,bóthar an chlaí dhuibh
376,blackhall parade,paráid blackhall
377,blackhall place,plás blackhall
378,blackhall street,sráid blackhall
379,blackheath avenue,ascaill an fhraoigh dhuibh
380,blackheath court,cúirt an fhraoigh dhuibh
381,blackheath drive,céide an fhraoigh dhuibh
382,blackheath gardens,gairdíní an fhraoigh dhuibh
383,blackheath grove,garrán an fhraoigh dhuibh
384,blackheath park,páirc an fhraoigh dhuibh
385,blackhorse avenue,ascaill an chiardhuibh
386,blackhorse downs,mulláin an chiardhuibh
387,blackhorse grove,garrán an chiardhuibh
388,blackwater road,bóthar na habhann móire
389,blarney park,páirc na blarnan
390,blessington court,cúirt bhaile coimín
391,blessington lane,lána bhaile coimín
392,blessington place,plás bhaile coimín
393,blessington street,sráid bhaile coimín
394,bloomfield avenue,ascaill ghort na mbláth
395,bloomfield cottages,iostáin ghort na mbláth
396,bloomfield park,páirc ghort na mbláth
397,bluebell avenue,ascaill an chloigín ghoirm
398,bluebell lane,lána an chloigín ghoirm
399,bluebell road,bóthar an chloigín ghoirm
400,blunden drive,céide blunden
401,blythe avenue,ascaill blythe
402,boardman’s lane,lána boardman
403,bolton street,sráid bolton
404,bond road,bóthar bond
405,bond road,extension síneadh bhóthar bond
406,bond street,sráid bond
407,bonham street,sráid bonham
408,boolavogue road,bóthar bhuaile mhaodhóg
409,botanic avenue,ascaill gharraithe na lus
410,botanic park,páirc gharraithe na lus
411,botanic road,bóthar gharraithe na lus
412,botanic villas,bailtíní gharraithe na lus
413,bow bridge,an droichead cam
414,bow lane,east lána na huillinne thoir
415,bow lane,west lána na huillinne thiar
416,bow street,sráid bowes
417,boyne road,bóthar na bóinne
418,boyne street,sráid na bóinne
419,brabazon row,rae brabazon
420,brabazon square,cearnóg brabazon
421,brabazon street,sráid brabazon
422,bracken’s lane,lána uí bhreacáin
423,brainsborough terrace,ardán brainsborough
424,braithwaite street,sráid braithwaite
425,"bramblings, the",cúirt na ndriseog
426,branch road,north an craobh-bhóthar thuaidh
427,branch road,south an craobh-bhóthar theas
428,brandon road,bóthar bhréanainn
429,brandon terrace,ardán bhréanainn
430,breakwater road,south bóthar an tonnchoisc
431,bregia road,bóthar bhreá
432,bremen avenue,ascaill bremen
433,bremen grove,garrán bremen
434,bremen road,bóthar bremen
435,brendan road,bóthar bhreandáin
436,brian avenue,ascaill bhriain
437,brian boru avenue,ascaill bhriain bhórú
438,brian boru street,sráid bhriain bhórú
439,brian road,bóthar bhriain
440,brian terrace,ardán bhriain
441,briarfield grove,garrán ghort na ndriseog
442,briarfield road,bóthar ghort na ndriseog
443,briarfield walk,siúlán ghort na ndriseog
444,brickfield drive,céide ghort na mbrící
445,brickfield lane,lána ghort na mbrící
446,bride road,bóthar bhríde
447,bride street,sráid bhríde
448,bride street,new sráid bhríde nua
449,bridge street,sráid an droichid
450,bridge street lower,sráid an droichid
451,bridge water quay,cé uisce an droichid
452,bridgefoot street,sráid bhun droichid
453,brighton avenue,ascaill brighton
454,brighton gardens,gairdíní brighton
455,brighton green,faiche brighton
456,brighton road,bóthar brighton
457,brighton square,cearnóg brighton
458,britain place,plás na breataine
459,britain quay,cé na breataine
460,broadstone avenue,ascaill na cloiche leithne
461,broadstone place,plás na cloiche leithne
462,brodir row,rae bhruadair
463,brookfield gort,an tsrutháin
464,brookfield green,faiche ghort an tsrutháin
465,brookfield road,bóthar ghort an tsrutháin
466,brookfield street,sráid ghort an tsrutháin
467,brookvale road,bóthar ghleanntán an
468,brookville crescent,corrán bhaile an tsrutháin
469,brookville park,páirc bhaile an tsrutháin
470,brookwood avenue,ascaill choill an tsrutháin
471,brookwood crescent,corrán choill an tsrutháin
472,brookwood drive,céide choill an tsrutháin
473,brookwood glen,gleann choill an tsrutháin
474,brookwood grove,garrán choill an tsrutháin
475,brookwood lawn,plásóg choill an tsrutháin
476,brookwood park,páirc choill an tsrutháin
477,brookwood rise,ard choill an tsrutháin
478,brookwood road,bóthar choill an tsrutháin
479,broombridge road,bóthar dhroichead broome
480,brown street,south sráid an bhrúnaigh theas
481,brunswick place,plás brunswick
482,brunswick street,north sráid brunswick thuaidh
483,buckingham street lower,sráid buckingham
484,buckingham street upper,sráid buckingham
485,bulfin gardens,gairdíní bulfin
486,bulfin road,bóthar bulfin
487,bull alley street,sráid scabhat na dtarbh
488,bull wall,balla an bhulla
489,bull wall cottages,iostáin bhalla an bhulla
490,bunratty avenue,ascaill bhun raite
491,bunratty drive,céide bhun raite
492,bunratty road,bóthar bhun raite
493,bunting road,bóthar bunting
494,burgh quay,cé an bhúrcaigh
495,burke place,plás an bhúrcaigh
496,burlington gardens,gairdíní burlington
497,burlington road,bóthar burlington
498,burren court,cúirt bhoirne
499,burris court,cúirt burris
500,bushfield avenue,ascaill ghort na dtor
501,bushfield place,plás ghort na dtor
502,bushfield square,cearnóg ghort na dtor
503,bushfield terrace,ardán ghort na dtor
504,bushy park gardens,gairdíní pháirc na dtor
505,bushy park road,bóthar pháirc na dtor
506,buttercup avenue,ascaill na bhfearbán
507,buttercup close,clós na bhfearbán
508,buttercup drive,céide na bhfearbán
509,buttercup green,faiche na bhfearbán
510,buttercup park,páirc na bhfearbán
511,buttercup square,cearnóg na bhfearbán
512,buttercup terrace,ardán na bhfearbán
513,byrnes lane,lána uí bhroin
514,cabra court,cúirt na cabraí
515,cabra drive,céide na cabraí
516,cabra grove,garrán na cabraí
517,cabra park,páirc na cabraí
518,cabra road,bóthar na cabraí
519,"cabra road, the",rere of cúl bhóthar na cabraí
520,cadogan road,bóthar cadogan
521,cairn court,cúirt an chairn
522,calderwood avenue,ascaill calderwood
523,calderwood grove,garrán calderwood
524,calderwood road,bóthar calderwood
525,caledon court,cúirt cheann aird
526,caledon road,bóthar cheann aird
527,camac close,clós na camóige
528,camac court,cúirt na camóige
529,camac lane,lána na camóige
530,camac park,páirc na camóige
531,cambridge avenue,ascaill cambridge
532,cambridge park,páirc cambridge
533,cambridge road,bóthar cambridge
534,cambridge square,cearnóg cambridge
535,cambridge terrace,ardán cambridge
536,cambridge villas,bailtíní cambridge
537,camden buildings,foirgnimh camden
538,camden court,cúirt camden
539,camden place,plás camden
540,camden row,rae camden
541,camden street lower,sráid camden
542,camden street upper,sráid camden
543,cameron square,cearnóg chamshróine
544,cameron street,sráid chamshróine
545,campbell’s court,cúirt mhic ailín
546,campbell’s row,rae mhic ailín
547,canal road,bóthar na canálach
548,canal terrace,ardán na canálach
549,canal walk,siúlán na canálach
550,canon lillis avenue,ascaill an chanónaigh uí
551,capel street,sráid chéipil
552,cappagh avenue,ascaill cheapaí
553,cappagh drive,céide cheapaí
554,cappagh green,faiche cheapaí
555,cappagh road,bóthar cheapaí
556,captain’s avenue,ascaill an chaptaein
557,captain’s drive,céide an chaptaein
558,captain’s road,bóthar an chaptaein
559,caragh road,bóthar loch cárthaí
560,carberry road,bóthar chairbre
561,cardiff castle road,bóthar chaisleán chairdif
562,cardiff lane,lána chairdif
563,cardiffsbridge avenue,ascaill dhroichead chairdif
564,cardiffsbridge grove,garrán dhroichead chairdif
565,cardiffsbridge road,bóthar dhroichead chairdif
566,cards lane,lána card
567,carleton road,bóthar uí chairealláin
568,carlingford court,cúirt chairlinn
569,carlingford parade,paráid chairlinn
570,carlingford road,bóthar chairlinn
571,carlisle avenue,ascaill carlisle
572,carlisle street,sráid carlisle
573,carmans hall hall,a na gcarraeirí
574,carna road,bóthar charna
575,carndonagh drive,céide charn domhnach
576,carndonagh lawn,plásóg charn domhnach
577,carndonagh park,páirc charn domhnach
578,carndonagh road,bóthar charn domhnach
579,carnew street,sráid charn an bhua
580,carnlough road,bóthar charnlaigh
581,caroline row,rae caroline
582,carraroe avenue,ascaill na ceathrún rua
583,carrick terrace,ardán na carraige
584,carrickfoyle terrace,ardán charraig an phoill
585,carrigallen drive,céide charraig álainn
586,carrigallen park,páirc charraig álainn
587,carrigallen road,bóthar charraig álainn
588,carrow road,bóthar na ceathrún
589,casement close,clós mhic easmainn
590,casement drive,céide mhic easmainn
591,casement green,faiche mhic easmainn
592,casement grove,garrán mhic easmainn
593,casement park,páirc mhic easmainn
594,casement road,bóthar mhic easmainn
595,cashel avenue,ascaill chaisil
596,cashel road,bóthar chaisil
597,casimir avenue,ascaill casimir
598,casimir court,cúirt casimir
599,casimir road,bóthar casimir
600,casino park,páirc an chasaíne
601,casino road,bóthar an chasaíne
602,castilla park,páirc castilla
603,castle avenue,ascaill an chaisleáin
604,castle grove,garrán an chaisleáin
605,castle market,margadh an chaisleáin
606,castle road,bóthar an chaisleáin
607,castle street,sráid an chaisleáin
608,castle terrace,ardán an chaisleáin
609,castleforbes road,bóthar chaisleán foirbis
610,castlekevin road,bóthar chaisleán chaoimhín
611,castleknock road,bóthar chaisleán cnucha
612,castletimon avenue,ascaill chaisleán tsíomóin
613,castletimon drive,céide chaisleán tsíomóin
614,castletimon gardens,gairdíní chaisleán tsíomóin
615,castletimon green,faiche chaisleán tsíomóin
616,castletimon park,páirc chaisleán tsíomóin
617,castletimon road,bóthar chaisleán tsíomóin
618,castlewood avenue,ascaill fhiodh an chaisleáin
619,castlewood park,páirc fhiodh an chaisleáin
620,castlewood place,plás fhiodh an chaisleáin
621,castlewood terrace,ardán fhiodh an chaisleáin
622,cathal brugha street,sráid chathail brugha
623,cathedral lane,lána na hardeaglaise
624,cathedral street,sráid na hardeaglaise
625,cathedral view court,cúirt radharc na hardeaglaise
626,cathedral view walk,siúlán radharc na hardeaglaise
627,catherine court,cúirt chaitríona
628,catherine lane,north lána san caitríona thuaidh
629,catherine street,sráid san caitríona
630,cavalry row,rae an mharcshlua
631,cavendish row,rae cavendish
632,cecil avenue,ascaill shisil
633,cecilia street,sráid shisile
634,cedar court,cúirt an chéadrais
635,cedar park,páirc an chéadrais
636,cedar walk,siúlán an chéadrais
637,cedarwood avenue,ascaill choill an chéadrais
638,cedarwood close,clós choill an chéadrais
639,cedarwood green,faiche choill an chéadrais
640,cedarwood grove,garrán choill an chéadrais
641,cedarwood park,páirc choill an chéadrais
642,cedarwood rise,ard choill an chéadrais
643,cedarwood road,bóthar choill an chéadrais
644,celestine avenue,ascaill celestine
645,celtic park avenue,ascaill pháirc cheilteach
646,celtic park road,bóthar pháirc cheilteach
647,chamber street,sráid an tseomraigh
648,champions avenue,ascaill na gcuradh
649,chancel mews,eachlann an tsaingil
650,chancery lane,lána na seansaireachta
651,chancery place,plás na seansaireachta
