number,english,irish
2910,saint brigid’s lawn,plásóg bhríde
2911,saint brigid’s road,bóthar bhríde
2912,saint brigid’s road lower,bóthar bhríde
2913,saint broc’s cottages,iostáin bhroc
2914,saint canice’s park,páirc chainnigh
2915,saint canice’s road,bóthar chainnigh
2916,saint catherine’s avenue,ascaill san caitríona
2917,saint catherine’s lane,lána san caitríona
2918,saint clare’s avenue,ascaill san clár
2919,saint clement’s road,bóthar san cleimint
2920,saint columba’s road lower,bóthar cholm cille
2921,saint columba’s road upper,bóthar cholm cille
2921,saint columba’s road,bóthar cholm cille
2922,saint david’s park,páirc san dáibhí
2923,saint david’s terrace,ardán san dáibhí
2924,saint david’s wood,coill san dáibhí
2925,saint declan’s road,bóthar dhéagláin
2926,saint declan’s terrace,ardán dhéagláin
2927,saint donagh’s crescent,corrán domhnaigh
2928,saint donagh’s park,páirc dhomhnaigh
2929,saint donagh’s road,bóthar dhomhnaigh
2930,saint eithne road,bóthar eithne
2931,saint enda’s road,bóthar éanna
2932,saint finbar’s road,bóthar fhionnbharra
2933,saint fintan road,bóthar fhiontain
2934,saint fintan terrace,ardán fhiontain
2935,saint francis’ square,cearnóg san proinsias
2936,saint gabriel’s road,bóthar naomh gaibréal
2937,saint george’s avenue,ascaill san seoirse
2938,saint helena’s drive,céide san eiléana
2939,saint helena’s road,bóthar san eiléana
2940,saint helen’s terrace,ardán san eiléana
2941,saint ignatius’ avenue,ascaill san iognáid
2942,saint ignatius’ road,bóthar san iognáid
2943,saint ita’s road,bóthar íde
2944,saint james’ avenue,ascaill san séamas
2945,saint james’ place,plás san séamas
2946,saint james’ terrace,ardán san séamas
2947,saint james’s avenue,ascaill san séamas
2948,saint james’s walk,siúlán san séamas
2949,saint jarlath’s road,bóthar iarlatha
2950,saint john’s avenue,ascaill eoin
2951,saint johns court,cúirt eoin
2952,saint john’s road,bóthar eoin
2953,saint john’s road,west bóthar eoin thiar
2954,saint john’s street,sráid eoin
2955,saint john’s wood,coill eoin
2956,saint joseph street,sráid iósaif
2957,saint joseph’s avenue,ascaill iósaif
2958,saint joseph’s court,cúirt iósaif
2959,saint joseph’s parade,paráid iósaif
2960,saint joseph’s place,plás iósaif
2961,saint joseph’s road,bóthar iósaif
2962,saint joseph’s square,cearnóg iósaif
2963,saint joseph’s terrace,ardán iósaif
2964,saint joseph’s villas,bailtíní iósaif
2965,saint kevin’s avenue,ascaill chaoimhín
2966,saint kevin’s cottages,iostáin chaoimhín
2967,saint kevins gardens,gairdíní chaoimhín
2968,saint kevin’s parade,páráid chaoimhín
2969,saint kevin’s park,páirc chaoimhín
2970,saint kevin’s road,bóthar chaoimhín
2971,saint laurence grove,garrán san labhrás
2972,saint laurence place,plás san labhrás
2973,saint laurence place,east plás san labhrás thoir
2974,saint laurence’s road,bóthar san labhrás
2975,saint lawrence road,bóthar san labhrás
2976,saint magdalen terrace,ardán naomh maigdiléana
2977,saint malachy road,bóthar mhaolmhaodhóg
2978,saint margaret’s avenue,ascaill san maighréad
2979,saint margaret’s court,cúirt san maighréad
2980,saint margaret’s road,bóthar theampaill
2981,saint margaret’s terrace,ardán san maighréad
2982,saint martin’s drive,céide san mártan
2983,saint martin’s park,páirc san mártan
2984,saint mary’s avenue,north ascaill mhuire thuaidh
2985,saint mary’s crescent,corrán mhuire
2986,saint mary’s drive,céide mhuire
2987,saint mary’s lane,lána mhuire
2988,saint mary’s park,páirc mhuire
2989,saint mary’s place,plás mhuire
2990,saint mary’s road,bóthar mhuire
2991,saint mary’s terrace,ardán mhuire
2992,saint michael’s close,clós mhichíl
2993,saint michael’s cottages,iostáin mhichíl
2994,saint michael’s estate,eastát mhichíl
2995,saint michael’s place,plás mhichíl
2996,saint michael’s road,bóthar mhichíl
2997,saint michael’s terrace,ardán mhichíl
2998,saint michan’s street,sráid mhichin
2999,saint mobhi drive,céide mobhí
3000,saint mobhi grove,garrán mobhí
3001,saint mobhi road,bóthar mobhí
3002,saint nicholas place,plás san nioclás
3003,saint pappin green,faiche phapáin
3004,saint pappin road,bóthar phapáin
3005,saint patrick’s avenue,ascaill phádraig
3006,saint patrick’s close,clós phádraig
3007,saint patrick’s parade,paráid phádraig
3008,saint patrick’s place,plás phádraig
3009,saint patrick’s road,bóthar phádraig
3010,saint patrick’s terrace,ardán phádraig
3011,saint patrick’s villas,bailtíní phádraig
3012,saint peter’s avenue,ascaill pheadair
3013,saint peter’s road,bóthar pheadair
3014,saint philomena’s road,bóthar san filimín
3015,saint stephen’s green,faiche stiabhna
3016,saint stephen’s green,east faiche stiabhna thoir
3017,saint stephen’s green,north faiche stiabhna thuaidh
3018,saint stephen’s green,south faiche stiabhna theas
3019,saint stephen’s green,west faiche stiabhna thiar
3020,saint teresa place,plás san treasa
3021,saint teresa road,bóthar san treasa
3022,saint teresa’s gardens,gairdíní san treasa
3023,saint teresa’s road,bóthar san treasa
3024,saint thomas road,bóthar san tomás
3025,saint vincent street,sráid naomh uinseann
3026,saint vincent street,south sráid naomh uinseann
3027,saint vincent street,west sráid naomh uinseann
3028,salem court,cúirt salem
3029,sallymount avenue,ascaill ard saileach
3030,sallymount gardens,gairdiní ard saileach
3031,sallymount terrace,ardán ard saileach
3032,sampson’s lane,lána sampson
3033,sandford avenue,ascaill sandford
3034,sandford close,clós sandford
3035,sandford gardens,gairdíní sandford
3036,sandford park,páirc sandford
3037,sandford road,bóthar sandford
3038,sandford terrace,ardán sandford
3039,sandwith street lower,sráid sandwith
3040,sandwith street upper,sráid sandwith
3040,sandwith street,sráid sandwith
3041,sandyhill avenue,ascaill chnoc an ghainimh
3042,sandyhill gardens,gairdíní chnoc an
3043,sandymount avenue,ascaill dhumhach thrá
3044,sandymount castle drive,céide chaisleán dhumhach
3045,sandymount castle park,páirc chaisleán dhumhach
3046,sandymount castle road,bóthar chaisleán
3047,sandymount court,cúirt dhumhach thrá
3048,sandymount green,faiche dhumhach thrá
3049,sandymount road,bóthar dhumhach thrá
3050,santry avenue,ascaill sheantraibh
3051,santry court,cúirt sheantraibh
3052,santry villas,bailtíní sheantraibh
3053,sarsfield quay,cé an tsáirséalaigh
3054,sarsfield road,bóthar an tsáirséalaigh
3055,sarsfield street,sráid an tsáirséalaigh
3056,saul road,bóthar shabhaill
3057,scarlett row,rae scarlett
3058,school avenue,ascaill na scoile
3059,school street,sráid na scoile
3060,schoolhouse lane,lána theach na scoile
3061,seafield avenue,ascaill ghort na mara
3062,seafield downs,mulláin ghort na mara
3063,seafield grove,garrán ghort na mara
3064,seafield road,east bóthar ghort na mara thoir
3065,seafield road,west bóthar ghort na mara thiar
3066,seafort avenue,ascaill dhún na mara
3067,seafort crescent,corrán dhún na mara
3068,seafort gardens,gairdíní dhún na mara
3069,seafort villas,bailtíní dhún na mara
3070,seamus ennis road,bóthar shéamais mhic
3071,sean macdermott street lower,sráid sheáin mhic
3072,sean macdermott street upper,sráid sheáin mhic
3072,sean macdermott street,sráid sheáin mhic
3073,sean o’casey avenue,ascaill sheáin uí
3074,seapark drive,céide pháirc na mara
3075,seapark road,bóthar pháirc na mara
3076,seapoint terrace,ardán rinn na mara
3077,seaview avenue,east ascaill radharc na mara
3078,seaview avenue,north ascaill radharc na mara
3079,seaview terrace,ardán radharc na mara
3080,second avenue,ascaill a dó
3081,selskar terrace,ardán sheilsceire
3082,serpentine avenue,ascaill na lúb
3083,serpentine mews,eachlann na lúb
3084,serpentine park,páirc na lúb
3085,serpentine road,bóthar na lúb
3086,serpentine terrace,ardán na lúb
3087,setanta place,plás shéanna
3088,seville place,plás seville
3089,seville terrace,ardán seville
3090,shamrock cottages,iostáin na seamróige
3091,shamrock place,plás na seamróige
3092,shamrock street,sráid na seamróige
3093,shamrock terrace,ardán na seamróige
3094,shamrock villas,bailtíní na seamróige
3095,shanard avenue,ascaill sheanaird
3096,shanard road,bóthar sheanaird
3097,shanboley road,bóthar na seanbhuaile
3098,shandon crescent,corrán an tseandúin
3099,shandon drive,céide an tseandúin
3100,shandon gardens,gairdíní an tseandúin
3101,shandon green,faiche an tseandúin
3102,shandon park,páirc an tseandúin
3103,shandon road,bóthar an tseandúin
3104,shangan avenue,ascaill na seangán
3105,shangan crescent,corrán na seangán
3106,shangan gardens,gairdíní na seangán
3107,shangan green,faiche na seangán
3108,shangan park,páirc na seangán
3109,shangan road,bóthar na seangán
3110,shanganagh road,bóthar sheangánaí
3111,shanglas road,bóthar na seanghlaise
3112,shanid road,bóthar sheanaid
3113,shanliss avenue,ascaill an tseanleasa
3114,shanliss drive,céide an tseanleasa
3115,shanliss gardens,gairdíní an tseanleasa
3116,shanliss grove,garrán an tseanleasa
3117,shanliss park,páirc an tseanleasa
3118,shanliss road,bóthar an tseanleasa
3119,shanliss walk,siúlán an tseanleasa
3120,shanliss way,bealach an tseanleasa
3121,shannon terrace,ardán na sionainne
3122,shanowen avenue,ascaill na seanabhann
3123,shanowen crescent,corrán na seanabhann
3124,shanowen drive,céide na seanabhann
3125,shanowen grove,garrán na seanabhann
3126,shanowen park,páirc na seanabhann
3127,shanowen road,bóthar na seanabhann
3128,shanrath road,bóthar na seanrátha
3129,shantalla avenue,ascaill sheantalaimh
3130,shantalla drive,céide sheantalaimh
3131,shantalla park,páirc sheantalaimh
3132,shantalla road,bóthar sheantalaimh
3133,shanvarna road,bóthar sheanbhearna
3134,shaw street,sráid an tseáigh
3135,shaws lane,lána an tseáigh
3136,shea’s court,cúirt uí shé
3137,shea’s lane,lána uí shé
3138,shelbourne avenue,ascaill shíol bhroin
3139,shelbourne lane,lána shíol bhroin
3140,shelbourne road,bóthar shíol bhroin
3141,shelmalier road,bóthar shíol maoluír
3142,shelmartin avenue,ascaill shliabh mhártain
3143,shelmartin terrace,ardán shliabh mhártain
3144,sheriff street lower,sráid an tsirriam
3145,sheriff street upper,sráid an tsirriam
3145,sheriff street,sráid an tsirriam
3146,sherkin gardens,gairdíní inis arcáin
3147,sherrard avenue,ascaill sherrard
3148,sherrard court,cúirt sherrard
3149,sherrard street lower,sráid sherrard
3150,sherrard street upper,sráid sherrard
3150,sherrard street,sráid sherrard
3151,ship street,great sráid na gcaorach mhór
3152,ship street,little sráid na gcaorach bheag
3153,shrewsbury park,páirc shrewsbury
3154,shrewsbury road,bóthar shrewsbury
3155,sibthorpe lane,lána sibthorpe
3156,sigurd road,bóthar shiochraidh
3157,silloge avenue,ascaill shaileoige
3158,silloge gardens,gairdíní shaileoige
3159,silloge road,bóthar shaileoige
3160,simmon’s place,plás mhic shíomóin
3161,simmonscourt avenue,ascaill chúirt shíomóin
3162,simmonscourt road,bóthar chúirt shíomóin
3163,simmonscourt square,cearnóg chúirt shíomóin
3164,simmonscourt terrace,ardán chúirt shíomóin
3165,simmonscourt view,radharc chúirt shíomóin
3166,simpson’s lane,lána mhic shim
3167,sion hill avenue,ascaill chnoc shióin
3168,sion hill road,bóthar chnoc shióin
3169,sir john rogerson’s quay,cé sir john rogerson
3170,sitric place,plás shitric
3171,sitric road,bóthar shitric
3172,skelly’s lane,lána uí scalaí
3173,skreen road,bóthar na scríne
3174,slade row,rae an tsláid
3175,slademore avenue,ascaill an tsláid mhóir
3176,slademore close,clós an tsláid mhóir
3177,slademore court,cúirt an tsláid mhóir
3178,slademore drive,céide an tsláid mhóir
3179,slane road,bóthar bhaile shláine
3180,slaney close,clós na sláine
3181,slaney road,bóthar na sláine
3182,slemish road,bóthar shliabh mis
3183,slievebloom park,páirc shliabh bladhma
3184,slievebloom road,bóthar shliabh bladhma
3185,slievemore road,bóthar an tsleibhe mhóir
3186,slievenamon road,bóthar shliabh na mban
3187,smithfield village,sráidbhaile mhargadh na
3188,smith’s cottages,iostáin mhic gabhann
3189,snowdrop walk,siúlán an phlúirín sneachta
3190,somerset street,sráid somerset
3191,somerville avenue,ascaill somerville
3192,somerville drive,céide somerville
3193,somerville green,faiche somerville
3194,somerville park,páirc somerville
3195,south bank road,bóthar an phoirt theas
3196,south circular road,an cuarbhóthar theas
3197,south dock place,plás an duga theas
3198,south dock road,bóthar an duga theas
3199,south dock street,sráid an duga theas
3200,south great george’s street,sráid sheoirse mhór theas
3201,south hill,an cnoc theas
3202,south link road,an nascbhóthar theas
3203,south lotts road,bóthar na lotaí theas
3204,southern cross avenue,ascaill chros an deiscirt
3205,spa road,bóthar an spá
3206,spafield terrace,ardán ghort an spá
3207,spencer dock,duga spencer
3208,spencer place,plás spencer
3209,spencer street,north sráid spencer thuaidh
3210,spencer street,south sráid spencer theas
3211,sperrin road,bóthar shliabh speirín
3212,spiddal park,páirc an spidéil
3213,spiddal road,bóthar an spidéil
3214,spire view,radharc na spuaice
3215,spire view lane,lána radharc na spuaice
3216,spring garden lane,lána ghairdín an tobair
3217,spring garden street,sráid ghairdín an tobair
3218,springdale road,bóthar ghleanntán an
3219,springfield gort,an tobair
3220,the square,an chearnóg
3221,st brigid’s road upper,bóthar bhríde
3221,st brigid’s road,bóthar bhríde
3222,stable lane,lána na stáblaí
3223,stamer street,sráid stamer
3224,stanford green,faiche stanford
3225,stanhope green,faiche stanhope
3226,stanhope street,sráid stanhope
3227,stannaway avenue,ascaill bhóthar na gcloch
3228,stannaway drive,céide bhóthar na gcloch
3229,stannaway road,bóthar bhóthar na gcloch
3230,station road,bóthar an stáisiúin
3231,steeven’s lane,lána steevens
3232,stella avenue,ascaill stella
3233,stephen street lower,sráid stiabhna
3234,stephen street upper,sráid stiabhna
3234,stephen street,sráid stiabhna
3235,stephen’s lane,lána stiabhna
3236,stephen’s place,plás stiabhna
3237,stephens road,bóthar stiabhna
3238,stiles court,cúirt stiles
3239,"stiles road, the",bóthar na strapaí
3240,stillorgan road,bóthar stigh lorgan
3241,stirrup lane,lána na stíoróipe
3242,stokes place,plás an stócaigh
3243,stoney road,bóthar stoney
3244,store street,sráid an stórais
3245,stormanstown road,bóthar bhaile stoirmín
3246,strand road,bóthar na trá
3247,strand street,sráid na trá
3248,strand street,great sráid na trá mhór
3249,strand street,little sráid na trá bheag
3250,strand terrace,ardán na trá
3251,strandville avenue,ascaill bhaile na trá
3252,strandville avenue,east ascaill bhaile na trá thoir
3253,strandville place,plás bhaile na trá
3254,strangford gardens,gairdíní loch cuan
3255,strangford road,east bóthar loch cuan thoir
3256,strasburg terrace,ardán strasburg
3257,streamville road,bóthar bhaile an tsrutháin
3258,strong’s court,cúirt strong
3259,suffolk street,sráid suffolk
3260,suir road,bóthar na siúire
3261,sullivan street,sráid uí shúilleabháin
3262,summer place,plás chnoc an tsamhraidh
3263,summer street,north sráid chnoc an tsamhraidh
3264,summer street,south sráid chnoc an tsamhraidh
3265,summerhill parade,paráid chnoc an
3266,summerhill place,plás chnoc an tsamhraidh
3267,summerville park,páirc summerville
3268,sunbury gardens,gairdíní sunbury
3269,sunbury park,páirc sunbury
3270,sundrive park,páirc ghrianréime
3271,sundrive road,bóthar ghrianréime
3272,susan terrace,ardán shiobhán
3273,susanville road,bóthar bhaile shiobhán
3274,sussex road,bóthar sussex
3275,sussex terrace,ardán sussex
3276,swan alley,scabhat na heala
3277,swan grove,garrán na heala
3278,swan place,plás na heala
3279,swan’s nest avenue,ascaill nead na heala
3280,swan’s nest road,bóthar nead na heala
3281,swanville place,plás bhaile na heala
3282,sweeney’s terrace,ardán mhic shuibhne
3283,swift’s alley,scabhat swift
3284,swift’s grove,garrán swift
3285,swilly road,bóthar loch súilí
3286,swords street,sráid shoird
3287,sybil hill avenue,ascaill chnoc shibéal
3288,sybil hill road,bóthar chnoc shibéal
3289,sycamore park,páirc an tseiceamair
3290,sycamore road,bóthar an tseiceamair
3291,sycamore street,sráid an tseiceamair
3292,sydenham road,bóthar sydenham
3293,sydney parade avenue,ascaill pharáid sydney
3294,synge lane,lána synge
3295,synge place,plás synge
3296,synge street,sráid synge
3297,synnott place,plás shionóid
3298,synnott row,rae shionóid
3299,talbot place,plás thalbóid
3300,talbot street,sráid thalbóid
3301,tara lawn,plásóg na teamhrach
3302,tara street,sráid na teamhrach
3303,"thatch road, the",bóthar na tuí
3304,temple cottages,iostáin temple
3305,temple court,cúirt temple
3306,temple gardens,gairdíní temple
3307,temple lane,north lána temple thuaidh
3308,temple lane,south lána temple theas
3309,temple park,páirc temple
3310,temple place,plás temple
3311,temple road,bóthar temple
3312,temple square,cearnóg temple
3313,temple street,sráid temple
3314,temple street,west sráid temple thiar
3315,temple view avenue,ascaill radharc an
3316,temple view close,clós radharc an teampaill
3317,temple view,copse rosán radharc an
3318,temple view court,cúirt radharc an teampaill
3319,temple view crescent,corrán radharc an
3320,temple view drive,céide radharc an teampaill
3321,temple view green,faiche radharc an
3322,temple view grove,garrán radharc an
3323,temple view lawn,plásóg radharc an
3324,temple view park,páirc radharc an teampaill
3325,temple view place,plás radharc an teampaill
3326,temple view rise,ard radharc an teampaill
3327,temple view row,rae radharc an teampaill
3328,temple view square,cearnóg radharc an
3329,temple view,vale gleanntán radharc an
3330,temple view walk,siúlán radharc an
3331,temple view way,bealach radharc an
3332,temple villas,bailtíní temple
3333,templemore avenue,ascaill an teampaill mhóir
3334,templeogue road,bóthar theach mealóg
3335,templeview downs,mulláin radharc an
3336,terenure park,páirc thír an iúir
3337,terenure place,plás thír an iúir
3338,terenure road,east bóthar thír an iúir thoir
3339,terenure road,north bóthar thír an iúir thuaidh
3340,terenure road,west bóthar thír an iúir thiar
3341,terminal road,south bóthar an chríochfoirt
3342,termon court,cúirt an tearmainn
3343,terrace place,plás an ardáin
3344,third avenue,ascaill a trí
3345,thirlestane terrace,ardán thirlestane
3346,thomas court,cúirt san tomás
3347,thomas court,bawn bábhún chúirt san tomás
3348,thomas davis street,south sráid thomáis dáibhis
3349,thomas davis street,west sráid thomáis dáibhis thiar
3350,thomas moore road,bóthar thomáis uí mhóra
3351,thomas street,sráid thomáis
3352,thomas street,west sráid thomáis thiar
3353,thomond road,bóthar thuamhan
3354,thompsons cottages,iostáin mhic thomáis
3355,thor place,plás thor
3356,thorncastle street,sráid chláir fhada
3357,thorndale avenue,ascaill ghleanntán na
3358,thorndale crescent,corrán ghleanntán na
3359,thorndale drive,céide ghleanntán na
3360,thorndale grove,garrán ghleanntán na
3361,thorndale lawn,plásóg ghleanntán na
3362,thorndale park,páirc ghleanntán na
3363,thornfield gort,na sceiche
3364,thornville avenue,ascaill bhaile na sceiche
3365,thornville drive,céide bhaile na sceiche
3366,thornville park,páirc bhaile na sceiche
3367,thornville road,bóthar bhaile na sceiche
3368,tir connell grove,garrán thír chonaill
3369,tivoli avenue,ascaill tivoli
3370,tolka cottages,iostáin na tulchann
3371,tolka estate road,bóthar eastát na tulchann
3372,tolka quay road,bóthar ché na tulchann
3373,tolka road,bóthar na tulchann
3374,tolka valley business park,páirc ghnó ghleann na
3375,tolka valley road,bóthar ghleann na
3376,tom kelly road,bóthar thomáis uí
3377,tomar court,cúirt thomhair
3378,tonguefield road,bóthar ghort na teanga
3379,tonlegee avenue,ascaill thóin le gaoith
3380,tonlegee drive,céide thóin le gaoith
3381,tonlegee road,bóthar thóin le gaoith
3382,torlogh gardens,gairdíní thoirealaigh
3383,torlogh parade,paráid thoirealaigh
3384,tourmakeady road,bóthar thuar mhic éadaigh
3385,tower avenue,ascaill an túir
3386,tower view cottages,iostáin radharc an túir
3387,townsend street,sráid chnoc na lobhar
3388,tranquility grove,garrán an tsuaimhnis
3389,trim road,bóthar bhaile átha troim
3390,trinity street,sráid na tríonóide
3391,trinity terrace,ardán na tríonóide
3392,tritonville avenue,ascaill tritonville
3393,tritonville close,clós tritonville
3394,tritonville court,cúirt tritonville
3395,tritonville crescent,corrán tritonville
3396,tritonville road,bóthar tritonville
3397,tudor road,bóthar na dtúdarach
3398,tulip court,cúirt na dtiúilipí
3399,turvey avenue,ascaill thuirbhe
3400,tuscany downs,mulláin tuscany
3401,tyrconnell park,páirc thír chonaill
3402,tyrconnell road,bóthar thír chonaill
3403,tyrconnell street,sráid thír chonaill
3404,tyrrell’s place,plás an tirialaigh
3405,ulster street,sráid uladh
3406,upper cross road,bóthar na croise uachtaraí
3407,upper glen road,bóthar an ghleanna
3408,usher street,sráid uiséir
3409,usher’s island,oileán uiséir
3410,usher’s quay,cé uiséir
3411,valentia parade,paráid dhairbhre
3412,valentia road,bóthar dhairbhre
3413,valeview crescent,corrán radharc an
3414,valeview drive,céide radharc an
3415,valeview gardens,gairdíní radharc an
3416,valley park avenue,ascaill pháirc an ghleanna
3417,valley park drive,céide pháirc an ghleanna
3418,valley park road,bóthar pháirc an ghleanna
3419,vavasour square,cearnóg vavasour
3420,venetian hall an hall,a veinéiseach
3421,ventry drive,céide fhionntrá
3422,ventry park,páirc fhionntrá
3423,ventry road,bóthar fhionntrá
3424,vera terrace,ardán vera
3425,vergemount park,páirc chnocán an imill
3426,vernon avenue,ascaill vernon
3427,vernon drive,céide vernon
3428,vernon gardens,gairdíní vernon
3429,vernon grove,garrán vernon
3430,vernon heath,fraoch vernon
3431,vernon park,páirc vernon
3432,vernon rise,ard vernon
3433,vernon street,sráid vernon
3434,vernon wood,coill vernon
3435,veronica terrace,ardán veronica
3436,verschoyle place,plás verschoyle
3437,vicar street,sráid an bhiocáire
3438,victoria avenue,ascaill victoria
3439,victoria lane,lána victoria
3440,victoria quay,cé victoria
3441,victoria road,bóthar victoria
3442,victoria street,sráid victoria
3443,victoria village,sráidbhaile victoria
3444,victoria villas,bailtíní victoria
3445,viking court,cúirt na nuigingeach
3446,viking place,plás na nuigingeach
3447,viking road,bóthar na nuigingeach
3448,villa park avenue,ascaill pháirc an bhailtín
3449,villa park drive,céide pháirc an bhailtín
3450,villa park gardens,gairdíní pháirc an bhailtín
3451,villa park road,bóthar pháirc an bhailtín
3452,"village, the",an sráidbhaile
3453,villiers road,bóthar villiers
3454,violet hill drive,céide chnoc na
3455,violet hill park,páirc chnoc na sailchuach
3456,violet hill road,bóthar chnoc na
3457,virginia drive,céide achadh an iúir
3458,virginia park,páirc achadh an iúir
3459,wadelai green,faiche wadelai
3460,wadelai road,bóthar wadelai
3461,wade’s avenue,ascaill wade
3462,walker’s cottages,iostáin walker
3463,walkinstown avenue,ascaill bhaile bhailcín
3464,walkinstown close,clós bhaile bhailcín
3465,walkinstown crescent,corrán bhaile bhailcín
3466,walkinstown drive,céide bhaile bhailcín
3467,walkinstown green,faiche bhaile bhailcín
3468,walkinstown parade,paráid bhaile bhailcín
3469,walkinstown park,páirc bhaile bhailcín
3470,walkinstown road,bóthar bhaile bhailcín
3471,wallace road,bóthar an bhailisigh
3472,walnut avenue,ascaill an ghallchnó
3473,walnut court,cúirt an ghallchnó
3474,walnut lawn,plásóg an ghallchnó
3475,walnut park,páirc an ghallchnó
3476,walnut rise,ard an ghallchnó
3477,walnut walk,siúlán an ghallchnó
3478,walsh road,bóthar an bhreatnaigh
3479,walworth road,bóthar walworth
3480,ward’s hill,cnoc mhic an bhaird
3481,warner’s lane,lána warner
3482,warren street,sráid warren
3483,warrenmount place,plás warrenmount
3484,warrington place,plás warrington
3485,wasdale grove,garrán wasdale
3486,wasdale park,páirc wasdale
3487,washington street,sráid washington
3488,waterfall avenue,ascaill an easa
3489,waterfall road,bóthar an easa
3490,waterloo avenue,ascaill waterloo
3491,waterloo lane,lána waterloo
3492,waterloo road,bóthar waterloo
3493,watermill avenue,ascaill an mhuilinn uisce
3494,watermill drive,céide an mhuilinn uisce
3495,watermill lawn,plásóg an mhuilinn uisce
3496,watermill park,páirc an mhuilinn uisce
3497,watermill road,bóthar an mhuilinn uisce
3498,watkins buildings,foirgnimh watkins
3499,watling street,sráid watling
3500,waverley avenue,ascaill waverley
3501,weavers close,clós na bhfíodóirí
3502,weavers’ square,cearnóg na bhfíodóirí
3503,weavers street,sráid na bhfíodóirí
3504,wellesley place,plás wellesley
3505,wellington lane,lána wellington
3506,wellington place,plás wellington
3507,wellington place,north plás wellington thuaidh
3508,wellington quay,cé wellington
3509,wellington road,bóthar wellington
3510,wellington street lower,sráid wellington
3511,wellington street upper,sráid wellington
3512,wellmount avenue,ascaill chnocán an tobair
3513,wellmount court,cúirt chnocán an tobair
3514,wellmount crescent,corrán chnocán an tobair
3515,wellmount drive,céide chnocán an tobair
3516,wellmount green,faiche chnocán an tobair
3517,wellmount park,páirc chnocán an tobair
3518,wellmount road,bóthar chnocán an tobair
3519,wellpark avenue,ascaill ghort an tobair
3520,werburgh street,sráid san werburgh
3521,wesley place,plás wesley
3522,wesley road,bóthar wesley
3523,west park drive,céide na páirce thiar
3524,west road,an bóthar thiar
3525,west terrace,an tardán thiar
3526,westbourne road,bóthar westbourne
3527,western road,bóthar an iarthair
3528,western way,bealach an iarthair
3529,westfield road,bóthar an ghoirt thiar
3530,westhampton place,plás westhampton
3531,westland court,cúirt an iarthair
3532,westland row,rae an iarthair
3533,westland square,cearnóg an iarthair
3534,westmoreland park,páirc westmoreland
3535,westmoreland street,sráid westmoreland
3536,westwood avenue,ascaill na coille thiar
3537,westwood road,bóthar na coille thiar
3538,wexford street,sráid loch garman
3539,whitebank road,bóthar an phoirt ghil
3540,whitefriar place,plás na mbráithre bána
3541,whitefriar street,sráid na mbráithre bána
3542,whitethorn avenue,ascaill na sceiche gile
3543,whitethorn close,clós na sceiche gile
3544,whitethorn crescent,corrán na sceiche gile
3545,whitethorn grove,garrán na sceiche gile
3546,whitethorn park,páirc na sceiche gile
3547,whitethorn rise,ard na sceiche gile
3548,whitethorn road,bóthar na sceiche gile
3549,whitton road,bóthar whitton
3550,whitworth avenue,ascaill whitworth
3551,whitworth parade,paráid whitworth
3552,whitworth place,plás whitworth
3553,whitworth road,bóthar whitworth
3554,whitworth terrace,ardán whitworth
3555,wicklow street,sráid chill mhantáin
3556,wigan road,bóthar wigan
3557,wilfield gort,na sailí
3558,wilfield park,páirc ghort na sailí
3559,wilfield road,bóthar ghort na sailí
3560,wilfrid road,bóthar wilfrid
3561,wilfrid terrace,ardán wilfrid
3562,william street,north sráid liam thuaidh
3563,william street,south sráid liam theas
3564,williams park,páirc mhic liam
3565,william’s place lower,plás mhic liam
3566,william’s place,south plás mhic liam theas
3567,william’s place upper,plás mhic liam
3568,willie bermingham place,plás liam mhic fheorais
3569,willow field gort,na sailí
3570,willow mews,eachlann na sailí
3571,willow park avenue,ascaill pháirc na sailí
3572,willow park close,clós pháirc na sailí
3573,willow park crescent,corrán pháirc na sailí
3574,willow park drive,céide pháirc na sailí
3575,willow park grove,garrán pháirc na sailí
3576,willow park lawn,plásóg pháirc na sailí
3577,willow park road,bóthar pháirc na sailí
3578,"willows, the",na saileoga
3579,willsborough industrial estate,eastát tionscail bhaile liam
3580,wilson terrace,ardán mhic liam
3581,wilson’s place,plás mhic liam
3582,wilton place,plás wilton
3583,wilton terrace,ardán wilton
3584,windele road,bóthar windele
3585,windmill avenue,ascaill an mhuilinn ghaoithe
3586,windmill crescent,corrán an mhuilinn
3587,windmill lane,lána an mhuilinn ghaoithe
3588,windmill park,páirc an mhuilinn ghaoithe
3589,windmill road,bóthar an mhuilinn
3590,windsor avenue,ascaill windsor
3591,windsor lane,lána windsor
3592,windsor place,plás windsor
3593,windsor road,bóthar windsor
3594,windsor terrace,ardán windsor
3595,windsor villas,bailtíní windsor
3596,winetavern street,sráid an fhíona
3597,winton avenue,ascaill winton
3598,winton mews,eachlann winton
3599,winton road,bóthar winton
3600,wolfe tone street,sráid wolfe tone
3601,wolseley street,sráid wolseley
3602,wood lane,lána an adhmaid
3603,wood quay,an ché adhmaid
3604,wood street,sráid an adhmaid
3605,woodbank avenue,ascaill bhruach na coille
3606,woodbank drive,céide bhruach na coille
3607,woodbine close,clós an fhéithlinn
3608,woodbine drive,céide an fhéithlinn
3609,woodbine park,páirc an fhéithlinn
3610,woodbine road,bóthar an fhéithlinn
3611,woodfield cottages,iostáin ghort na coille
3612,woodfield place,plás ghort na coille
